,Movie Name,Movie Year,Movie url,Genre,Runtime,Box Office,Critic Ratings,Audience Ratings
56,Toy Story 3,2010,http://www.rottentomatoes.com/m/770672122,"fantasy,animation,kidsandfamily,adventure,comedy",1h 42m,415.0M,98,89
57,Star Wars,1977,http://www.rottentomatoes.com/m/11292,"action,scifi,fantasy,adventure",2h 1m,345,92,96
58,A Separation,2011,http://www.rottentomatoes.com/m/771237246,drama,2h 3m,331.7K,99,92
59,The Pianist,2002,http://www.rottentomatoes.com/m/14246,"war,history,drama",2h 28m,32.5M,95,96
60,A Brighter Summer Day,1991,http://www.rottentomatoes.com/m/731000969,drama,4h,Not available!,100,94
61,City of God,2002,http://www.rottentomatoes.com/m/12927,"drama,crime",2h 11m,7.6M,91,97
62,Woman in the Dunes,1964,http://www.rottentomatoes.com/m/21550,drama,2h 5m,Not available!,100,93
63,Back to the Future,1985,http://www.rottentomatoes.com/m/23532,"comedy,scifi,fantasy,adventure",1h 56m,247.0K,96,94
64,Spider-Man: Into the Spider-Verse,2018,The url does not exist!,"comedy,scifi,fantasy,adventure",1h 56m,247.0K,96,94
65,The Lives of Others,2006,http://www.rottentomatoes.com/m/371352714,"drama,history",2h 17m,11.3M,93,96
66,Taxi Driver,1976,http://www.rottentomatoes.com/m/16625,drama,1h 53m,Not available!,96,93
67,Toy Story,1995,http://www.rottentomatoes.com/m/9559,"animation,fantasy,adventure,comedy,kidsandfamily",1h 20m,Not available!,100,92
68,Cinema Paradiso,1988,http://www.rottentomatoes.com/m/14337,drama,2h 3m,9.1M,90,97
69,The Lion King,1994,http://www.rottentomatoes.com/m/9385,"musical,adventure,animation,kidsandfamily",1h 27m,422.8M,93,93
70,Once Upon a Time in the West,1968,http://www.rottentomatoes.com/m/10196,western,2h 45m,Not available!,95,95
71,Fanny & Alexander,1982,http://www.rottentomatoes.com/m/13375,drama,3h 8m,Not available!,100,94
72,Whiplash,2014,http://www.rottentomatoes.com/m/771371883,"drama,music",1h 46m,13.2M,94,94
73,Pather Panchali,1955,http://www.rottentomatoes.com/m/20091,drama,2h 6m,Not available!,98,94
74,Sansho the Bailiff,1954,http://www.rottentomatoes.com/m/280170186,"history,drama",2h 5m,Not available!,100,95
75,The 400 Blows,1959,http://www.rottentomatoes.com/m/22253,"drama,crime",1h 33m,Not available!,100,94
76,The World of Apu,1959,http://www.rottentomatoes.com/m/770674866,drama,1h 43m,Not available!,96,95
77,The Treasure of the Sierra Madre,1948,http://www.rottentomatoes.com/m/18253,"adventure,drama,western",2h 4m,Not available!,100,93
78,Some Like It Hot,1959,http://www.rottentomatoes.com/m/18189,comedy,2h,Not available!,95,94
79,Come and See,1985,http://www.rottentomatoes.com/m/22185,drama,2h 22m,70.8K,97,96
80,The Passion of Joan of Arc,1928,http://www.rottentomatoes.com/m/18673,"history,drama,biography",1h 17m,6.4K,98,93
81,North by Northwest,1959,http://www.rottentomatoes.com/m/18639,mysteryandthriller,2h 16m,Not available!,99,94
82,The Gold Rush,1925,http://www.rottentomatoes.com/m/21401,"adventure,drama,comedy",1h 22m,Not available!,100,93
83,My Neighbor Totoro,1988,http://www.rottentomatoes.com/m/17541,"fantasy,anime",1h 27m,Not available!,94,94
84,Yojimbo,1961,http://www.rottentomatoes.com/m/17236,"adventure,comedy",1h 50m,Not available!,95,96
85,Three Colors: Red,1994,http://www.rottentomatoes.com/m/266746773,drama,1h 39m,858.4K,100,95
86,Princess Mononoke,1997,http://www.rottentomatoes.com/m/10144,"adventure,fantasy,anime",2h 13m,Not available!,93,94
87,Andrei Rublev,1966,http://www.rottentomatoes.com/m/19176,biography,2h 45m,101.4K,95,94
88,Nights of Cabiria,1957,http://www.rottentomatoes.com/m/19777,drama,1h 50m,820.7K,97,94
89,Satantango,1994,http://www.rottentomatoes.com/m/359854872,"drama,comedy",7h 30m,Not available!,100,93
90,Ugetsu,1953,http://www.rottentomatoes.com/m/18097,fantasy,1h 36m,Not available!,100,94
91,Once Upon a Time in America,1984,http://www.rottentomatoes.com/m/13113,"drama,crime",2h 19m,Not available!,87,93
92,The General,1926,http://www.rottentomatoes.com/m/534309484,"adventure,action,comedy",1h 23m,Not available!,93,92
93,The Third Man,1949,http://www.rottentomatoes.com/m/18250,mysteryandthriller,1h 44m,447.0K,99,93
94,Eternal Sunshine of the Spotless Mind,2004,http://www.rottentomatoes.com/m/12860,"scifi,romance",1h 48m,34.1M,93,94
95,Inception,2010,http://www.rottentomatoes.com/m/770805418,"scifi,mysteryandthriller,action",2h 28m,292.6M,87,91
96,I Am Cuba,1964,http://www.rottentomatoes.com/m/19394,drama,2h 21m,Not available!,100,92
97,Stalker,1979,http://www.rottentomatoes.com/m/18852,"scifi,adventure",2h 43m,258.4K,100,93
98,Army of Shadows,1969,http://www.rottentomatoes.com/search/?search=Army+of+Shadows,The genre is not known!,Not available!,Not available!,Not available!,Not available!
99,Sunrise: A Song of Two Humans,1927,http://www.rottentomatoes.com/m/98818519,"drama,romance",1h 50m,Not available!,98,92
100,Das Boot,1981,http://www.rottentomatoes.com/m/17965,"war,drama",2h 30m,Not available!,98,96
101,To Be or Not to Be,1942,http://www.rottentomatoes.com/m/770670964,comedy,1h 39m,Not available!,98,93
102,Late Spring,1949,http://www.rottentomatoes.com/m/98817247,drama,1h 47m,Not available!,100,92
103,Up,2009,http://www.rottentomatoes.com/m/770671912,"adventure,comedy,animation,kidsandfamily",1h 29m,Not available!,98,90
104,Scenes From a Marriage,1973,http://www.rottentomatoes.com/m/230386842,drama,2h 48m,Not available!,90,95
105,The Circus,1928,http://www.rottentomatoes.com/m/22635,comedy,1h 12m,Not available!,96,94
106,Chinatown,1974,http://www.rottentomatoes.com/m/12883,"drama,crime",2h 11m,Not available!,99,93
107,It's Such a Beautiful Day,2012,The url does not exist!,"drama,crime",2h 11m,Not available!,99,93
108,Raiders of the Lost Ark,1981,http://www.rottentomatoes.com/m/23529,"action,adventure",1h 55m,248.2M,95,96
109,Man With a Movie Camera,1929,http://www.rottentomatoes.com/m/20270,documentary,1h 9m,Not available!,97,88
110,Time of the Gypsies,1988,http://www.rottentomatoes.com/m/770797528,drama,2h 16m,183.3K,100,97
111,The Battle of Algiers,1966,http://www.rottentomatoes.com/m/133039722,"war,history,drama",2h 5m,55.9K,99,95
112,La Jetée,1962,http://www.rottentomatoes.com/search/?search=La+Jet%c3%a9e,The genre is not known!,Not available!,Not available!,Not available!,Not available!
113,Persona,1966,http://www.rottentomatoes.com/m/18771,drama,1h 21m,Not available!,90,94
114,Ordet,1955,http://www.rottentomatoes.com/m/238431506,drama,2h 5m,Not available!,100,92
115,Coco,2017,The url does not exist!,drama,2h 5m,Not available!,100,92
116,The Wages of Fear,1953,http://www.rottentomatoes.com/m/19770,mysteryandthriller,2h 36m,Not available!,100,95
117,Inside Out,2015,http://www.rottentomatoes.com/m/771306118,"fantasy,comedy,animation,kidsandfamily",1h 35m,2.0M,98,89
118,The Seventh Seal,1957,http://www.rottentomatoes.com/m/341817599,"fantasy,drama",1h 36m,Not available!,93,93
119,Mirror,1975,http://www.rottentomatoes.com/m/19648,"drama,biography",1h 48m,Not available!,100,92
120,Amadeus,1984,http://www.rottentomatoes.com/m/10286,"drama,history,biography",2h 38m,Not available!,93,95
121,Finding Nemo,2003,http://www.rottentomatoes.com/m/9377,"comedy,adventure,kidsandfamily,animation",1h 40m,Not available!,99,86
122,Wild Strawberries,1957,http://www.rottentomatoes.com/m/22630,drama,1h 30m,Not available!,95,94
123,Rififi,1955,http://www.rottentomatoes.com/m/19201,"mysteryandthriller,drama,crime",2h,57.2K,92,95
