,Movie_Name,Movie_url,Genre,Movie_Year,Box_Office_(USD),Box_Office_(USD_2020),Critic_Ratings,Audience_Ratings,Runtime_(min)
230,The Conformist,http://www.rottentomatoes.com/m/136193252,drama,1970,57020001,382034007,98.0,90.0,115.0
231,Ben-Hur,http://www.rottentomatoes.com/m/9402,"adventure,history,drama",1959,57020001,509188609,86.0,89.0,203.0
232,Life Is Beautiful,http://www.rottentomatoes.com/m/10097,"drama,comedy",1997,57600000,93312000,84.0,96.0,122.0
233,The Crowd,http://www.rottentomatoes.com/m/337758515,drama,1928,57020001,866704015,96.0,90.0,104.0
234,The Hidden Fortress,http://www.rottentomatoes.com/m/19475,comedy,1958,57020001,512609809,97.0,93.0,139.0
235,Before Sunset,http://www.rottentomatoes.com/m/12908,"drama,romance",2004,5800000,8004000,95.0,91.0,80.0
236,Marriage Story,The url does not exist!,"drama,romance",2019,5800000,5916000,95.0,91.0,80.0
237,Django Unchained,http://www.rottentomatoes.com/m/771245718,"drama,action,western",2012,162800000,183964000,87.0,91.0,165.0
238,Network,http://www.rottentomatoes.com/m/16424,"drama,comedy",1976,57020001,260581405,91.0,93.0,121.0
239,For a Few Dollars More,http://www.rottentomatoes.com/m/60565656,western,1965,57020001,470415008,91.0,94.0,132.0
240,Pan's Labyrinth,http://www.rottentomatoes.com/m/343934933,"fantasy,drama,war",2006,37600000,48504000,95.0,91.0,120.0
241,Viridiana,http://www.rottentomatoes.com/m/287449364,drama,1961,57020001,495503809,96.0,90.0,90.0
242,The Last Picture Show,http://www.rottentomatoes.com/m/13338,drama,1971,57020001,366068406,100.0,90.0,118.0
243,Ali: Fear Eats the Soul,http://www.rottentomatoes.com/m/347990353,"romance,drama",1974,57020001,300495405,100.0,91.0,94.0
244,Incendies,http://www.rottentomatoes.com/m/771197495,drama,2010,6900000,8211000,93.0,92.0,130.0
245,Full Metal Jacket,http://www.rottentomatoes.com/m/16673,"history,drama,war",1987,42900000,98241000,92.0,94.0,116.0
246,Farewell My Concubine,http://www.rottentomatoes.com/m/13016,drama,1993,2500000,4500000,86.0,93.0,157.0
247,Touch of Evil,http://www.rottentomatoes.com/m/17060,"mysteryandthriller,drama,crime",1958,57020001,512609809,95.0,92.0,95.0
248,Fargo,http://www.rottentomatoes.com/m/104762093,"crime,comedy,drama,mysteryandthriller",1996,24500000,40670000,94.0,93.0,97.0
249,Central Station,http://www.rottentomatoes.com/m/14037,drama,1998,6200000,9858000,94.0,95.0,110.0
