,Movie_Name,Movie_url,Genre,Movie_Year,Box_Office_(USD),Box_Office_(USD_2020),Critic_Ratings,Audience_Ratings,Runtime_(min)
51,The Apartment,http://www.rottentomatoes.com/m/18339,"drama,comedy",1960,57020001,500635609,93.0,94.0,125.0
52,Saving Private Ryan,http://www.rottentomatoes.com/m/13217,"history,drama,war",1998,57020001,90661802,93.0,95.0,169.0
53,M,http://www.rottentomatoes.com/search/?search=M,The genre is not known!,1931,57020001,975042017,95.0,93.0,126.0
54,Lawrence of Arabia,http://www.rottentomatoes.com/m/10348,"history,biography,drama,adventure",1962,6000000,51660000,98.0,93.0,216.0
55,A Man Escaped,http://www.rottentomatoes.com/m/19305,action,1956,57020001,545111210,100.0,93.0,102.0
56,Toy Story 3,http://www.rottentomatoes.com/m/770672122,"fantasy,animation,kidsandfamily,adventure,comedy",2010,415000000,493850000,98.0,89.0,102.0
57,Star Wars,http://www.rottentomatoes.com/m/11292,"action,scifi,fantasy,adventure",1977,57020001,244615804,92.0,96.0,121.0
58,A Separation,http://www.rottentomatoes.com/m/771237246,drama,2011,331700,384772,99.0,92.0,123.0
59,The Pianist,http://www.rottentomatoes.com/m/14246,"war,history,drama",2002,32500000,46800000,95.0,96.0,148.0
60,A Brighter Summer Day,http://www.rottentomatoes.com/m/731000969,drama,1991,57020001,108908202,100.0,94.0,240.0
61,City of God,http://www.rottentomatoes.com/m/12927,"drama,crime",2002,7600000,10944000,91.0,97.0,131.0
62,Woman in the Dunes,http://www.rottentomatoes.com/m/21550,drama,1964,57020001,477827608,100.0,93.0,125.0
63,Back to the Future,http://www.rottentomatoes.com/m/23532,"comedy,scifi,fantasy,adventure",1985,247000,597740,96.0,94.0,116.0
64,Spider-Man: Into the Spider-Verse,The url does not exist!,"comedy,scifi,fantasy,adventure",2018,247000,256880,96.0,94.0,116.0
65,The Lives of Others,http://www.rottentomatoes.com/m/371352714,"drama,history",2006,11300000,14577000,93.0,96.0,137.0
66,Taxi Driver,http://www.rottentomatoes.com/m/16625,drama,1976,57020001,260581405,96.0,93.0,113.0
67,Toy Story,http://www.rottentomatoes.com/m/9559,"animation,fantasy,adventure,comedy,kidsandfamily",1995,57020001,97504202,100.0,92.0,80.0
68,Cinema Paradiso,http://www.rottentomatoes.com/m/14337,drama,1988,9100000,20020000,90.0,97.0,123.0
69,The Lion King,http://www.rottentomatoes.com/m/9385,"musical,adventure,animation,kidsandfamily",1994,422800000,739900000,93.0,93.0,87.0
70,Once Upon a Time in the West,http://www.rottentomatoes.com/m/10196,western,1968,57020001,425939407,95.0,95.0,165.0
71,Fanny & Alexander,http://www.rottentomatoes.com/m/13375,drama,1982,57020001,153383803,100.0,94.0,188.0
72,Whiplash,http://www.rottentomatoes.com/m/771371883,"drama,music",2014,13200000,14520000,94.0,94.0,106.0
73,Pather Panchali,http://www.rottentomatoes.com/m/20091,drama,1955,57020001,553094010,98.0,94.0,126.0
74,Sansho the Bailiff,http://www.rottentomatoes.com/m/280170186,"history,drama",1954,57020001,550813210,100.0,95.0,125.0
75,The 400 Blows,http://www.rottentomatoes.com/m/22253,"drama,crime",1959,57020001,509188609,100.0,94.0,93.0
76,The World of Apu,http://www.rottentomatoes.com/m/770674866,drama,1959,57020001,509188609,96.0,95.0,103.0
77,The Treasure of the Sierra Madre,http://www.rottentomatoes.com/m/18253,"adventure,drama,western",1948,57020001,614675611,100.0,93.0,124.0
78,Some Like It Hot,http://www.rottentomatoes.com/m/18189,comedy,1959,57020001,509188609,95.0,94.0,120.0
79,Come and See,http://www.rottentomatoes.com/m/22185,drama,1985,70800,171336,97.0,96.0,142.0
80,The Passion of Joan of Arc,http://www.rottentomatoes.com/m/18673,"history,drama,biography",1928,6400,97280,98.0,93.0,77.0
81,North by Northwest,http://www.rottentomatoes.com/m/18639,mysteryandthriller,1959,57020001,509188609,99.0,94.0,136.0
82,The Gold Rush,http://www.rottentomatoes.com/m/21401,"adventure,drama,comedy",1925,57020001,846747015,100.0,93.0,82.0
83,My Neighbor Totoro,http://www.rottentomatoes.com/m/17541,"fantasy,anime",1988,57020001,125444002,94.0,94.0,87.0
84,Yojimbo,http://www.rottentomatoes.com/m/17236,"adventure,comedy",1961,57020001,495503809,95.0,96.0,110.0
85,Three Colors: Red,http://www.rottentomatoes.com/m/266746773,drama,1994,858400,1502200,100.0,95.0,99.0
86,Princess Mononoke,http://www.rottentomatoes.com/m/10144,"adventure,fantasy,anime",1997,57020001,92372402,93.0,94.0,133.0
87,Andrei Rublev,http://www.rottentomatoes.com/m/19176,biography,1966,101400,813228,95.0,94.0,165.0
88,Nights of Cabiria,http://www.rottentomatoes.com/m/19777,drama,1957,820700,7591475,97.0,94.0,110.0
89,Satantango,http://www.rottentomatoes.com/m/359854872,"drama,comedy",1994,57020001,99785002,100.0,93.0,450.0
90,Ugetsu,http://www.rottentomatoes.com/m/18097,fantasy,1953,57020001,554804610,100.0,94.0,96.0
91,Once Upon a Time in America,http://www.rottentomatoes.com/m/13113,"drama,crime",1984,57020001,142550002,87.0,93.0,139.0
92,The General,http://www.rottentomatoes.com/m/534309484,"adventure,action,comedy",1926,57020001,837053615,93.0,92.0,83.0
93,The Third Man,http://www.rottentomatoes.com/m/18250,mysteryandthriller,1949,447000,4881240,99.0,93.0,104.0
